task,total_rounds,Claude-Opus-4.8,GPT-5.5,Kimi-K2.6,Kimi-K2.7-Code,MiniMax-M3,DeepSeek-V4-Pro,Doubao-Seed-2.1-Pro,Qwen3.6-Plus,Qwen3.7-Max,GLM-5.1,GLM-5.2,DeepSeek-V4-Flash,MiniMax-M2.7,__note
theme_d10_w10_ml_ai_mlops_forensics_analysis,9,9/9 c100% r48.8,7/9 c100% r55.2,0/9 c92% r102.1,0/9 c35% r78.1,0/9 c77% r91,0/9 c79% r158.4,0/9 c25% r64.3,0/9 c98% r93.1,0/9 c86% r104.9,1/9 c52% r77,9/9 c100% r101.9,0/9 c84% r103.3,0/9 c72% r92.4,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d10_w11_ml_ai_mlops_automation_scripting,7,4/7 c100% r49.3,1/7 c99% r76.4,1/7 c60% r92.9,3/7 c100% r94,0/7 c48% r119.6,0/7 c68% r129.6,0/7 c72% r61.4,0/7 c64% r88,0/7 c99% r84.6,0/7 c11% r48,0/7 c16% r71.4,0/7 c27% r86.1,0/7 c75% r87,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d10_w12_ml_ai_mlops_explanation_reporting,7,7/7 c100% r55.9,2/7 c97% r49.6,0/7 c42% r116.1,6/7 c87% r81.1,7/7 c100% r118.1,1/7 c76% r120.6,0/7 c0% r64.3,0/7 c66% r105.3,1/7 c73% r109.9,0/7 c56% r85.6,2/7 c98% r76.7,1/7 c88% r123.4,0/7 c44% r75.4,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d10_w2_ml_ai_mlops_brownfield_modification,8,8/8 c100% r42.1,0/8 c84% r74.1,0/8 c44% r72.8,0/8 c25% r58.9,0/8 c67% r81.1,0/8 c49% r111,0/8 c11% r59.9,0/8 c87% r88.1,0/8 c50% r103.8,0/8 c40% r77.4,1/8 c40% r47.9,0/8 c46% r94.1,0/8 c5% r92.1,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d10_w4_ml_ai_mlops_migration_upgrade,7,7/7 c100% r109.3,1/7 c89% r91.9,1/7 c79% r217,1/7 c73% r157.1,4/7 c99% r221.4,0/7 c79% r235.7,1/7 c56% r111.3,1/7 c97% r209.9,2/7 c83% r199.6,0/7 c83% r230.3,3/7 c69% r86.3,1/7 c64% r189.9,0/7 c79% r170.4,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d10_w4_ml_ai_mlops_migration_upgrade__not_1234,13,12/13 c99% r60.3,0/13 c56% r20.8,4/13 c91% r119.2,0/13 c61% r85,1/13 c92% r123.2,1/13 c72% r123.9,1/13 c83% r79.6,1/13 c90% r121.4,0/13 c74% r100.4,0/13 c80% r107.3,9/13 c99% r90.7,1/13 c90% r109.1,0/13 c83% r89.9,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d10_w5_ml_ai_mlops_integration_e2e_wiring,7,0/7 c97% r81.9,0/7 c84% r10.3,0/7 c61% r193.3,0/7 c69% r94,0/7 c0% r188.3,0/7 c62% r208.1,0/7 c82% r100.3,0/7 c40% r142.9,0/7 c89% r193.3,0/7 c39% r145.6,0/7 c55% r120.4,0/7 c32% r187,0/7 c56% r198,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d10_w8_ml_ai_mlops_security_patch_hardening,8,8/8 c100% r39.6,0/8 c68% r28.2,5/8 c97% r67.6,0/8 c82% r55.2,7/8 c100% r90.2,0/8 c66% r92.6,0/8 c0% r42,0/8 c0% r183.9,0/8 c55% r49.1,7/8 c99% r61.1,0/8 c0% r51.9,7/8 c96% r83.9,7/8 c99% r57.6,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d10_w9_ml_ai_mlops_reproducibility_verification,8,1/8 c98% r32.6,1/8 c99% r34.6,0/8 c70% r115.6,0/8 c0% r26.4,0/8 c93% r120.6,2/8 c98% r109.2,0/8 c41% r47.5,0/8 c90% r60,0/8 c57% r97.2,0/8 c40% r72.4,0/8 c30% r57.8,0/8 c92% r79.8,0/8 c76% r77.6,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d11_w2_scientific_numerical_brownfield_modification,7,7/7 c100% r54.9,6/7 c99% r71.6,0/7 c79% r187,0/7 c9% r13.6,0/7 c13% r183,2/7 c89% r188.4,1/7 c80% r100.9,0/7 c95% r129.7,0/7 c60% r142.3,0/7 c96% r134.1,0/7 c66% r113.6,0/7 c96% r138.6,0/7 c56% r159.3,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d11_w2_scientific_numerical_brownfield_modification__not_1234,5,0/5 c95% r39.6,2/5 c98% r39.6,0/5 c98% r94.6,0/5 c37% r52.8,0/5 c99% r167.2,1/5 c85% r199.8,0/5 c80% r54.8,0/5 c74% r109,0/5 c94% r130.2,0/5 c70% r75.2,2/5 c100% r82.4,0/5 c75% r116.6,0/5 c23% r114.4,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
